date,order_book_id,quantity
2019/4/30,152043.SH,439874
2019/4/30,136110.SH,499213
2019/4/30,136293.SH,146133
2019/4/30,136515.SH,721926
2019/4/30,136664.SH,144763
2019/4/30,136768.SH,288742
2019/4/30,143189.SH,429066
2019/4/30,143270.SH,94330
2019/4/30,143784.SH,284621
2019/4/30,155207.SH,443169
2019/4/30,155214.SH,290947
2019/4/30,018008.SH,144999
2019/4/30,112296.SZ,144867
2019/4/30,112481.SZ,13072
2019/4/30,112573.SZ,428828
2019/4/30,112663.SZ,294783
2019/4/30,1480368.IB,551993
2019/4/30,1580098.IB,440543
2019/4/30,1680228.IB,443362
2019/4/30,1880203.IB,290051
2019/4/30,1880315.IB,442448
2019/4/30,050203.IB,734356
2019/4/30,101551055.IB,429953
2019/4/30,101651052.IB,437191
2019/4/30,101653013.IB,147407
2019/4/30,101653050.IB,584374
2019/4/30,101751028.IB,719245
2019/4/30,101751032.IB,656569
2019/4/30,101760011.IB,147105
2019/4/30,101765002.IB,363594
2019/4/30,101800448.IB,147001
2019/4/30,101800531.IB,591568
2019/4/30,101800720.IB,287851
2019/4/30,101801034.IB,434915
2019/4/30,101801143.IB,437664
2019/4/30,101801178.IB,144707
2019/4/30,101801302.IB,583663
2019/4/30,101801432.IB,438817
2019/4/30,101801524.IB,292349
2019/4/30,101801543.IB,439988
2019/4/30,101900053.IB,293494
2019/4/30,101900583.IB,597082
2019/4/30,122803.SH,110295
2019/4/30,124827.SH,110477
2019/4/30,127490.SH,784
2019/4/30,127850.SH,200544
2019/4/30,122327.SH,195869
2019/4/30,122467.SH,194165
2019/4/30,136099.SH,72410
2019/4/30,136301.SH,306147
2019/4/30,136535.SH,234909
2019/4/30,136554.SH,232339
2019/4/30,136805.SH,72349
2019/4/30,143165.SH,212547
2019/4/30,143536.SH,710283
2019/4/30,143960.SH,292292
2019/4/30,155024.SH,86738
2019/4/30,155030.SH,204796
2019/4/30,155076.SH,429904
2019/4/30,155093.SH,433908
2019/4/30,155213.SH,442719
2019/4/30,155318.SH,442167
2019/4/30,155989.SH,653266
2019/4/30,155996.SH,660731
2019/4/30,112121.SZ,10783
2019/4/30,112457.SZ,675815
2019/4/30,112518.SZ,444153
2019/4/30,112555.SZ,350878
2019/4/30,112559.SZ,183764
2019/4/30,112638.SZ,592610
